HRIR;HRTF;Configuration;Description;Source;Credits;Points
ITA_10;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_11;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_12;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_13;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_14;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_15;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_16;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_17;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_18;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_19;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_20;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_21;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_22;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_23;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_24;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_25;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_26;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_27;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_28;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_29;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_30;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_31;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_32;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_33;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_34;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_35;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_36;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_37;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_38;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_39;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_40;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_41;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_42;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_43;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_44;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_45;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_46;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_47;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
ITA_48;ITA;Headphones;HRTF datasets in high spatial resolution with corresponding detailed ear models, reconstructed from MRI-scans, of each individual subject. It contains 48 subjects who are on average 29 ± 5 years old. 35 of the 48 subjects are male and 43 are Europeans, 3 are Asians and 2 are South Americans. For all of the subjects the HRTFs datasets were measured in a resolution of 5° x 5°, and magnetic resonance imaging scans were taken of their head and pinnae.;https://www.akustik.rwth-aachen.de/go/id/lsly;"Ramona Bomhardt, Matias de la Fuente Klein, and Janina Fels:
A high-resolution head-related transfer function and three-dimensional ear model database,
Proceedings of Meetings on Acoustics 29, 050002 (2016);
doi: 10.1121/2.0000467

Published by the Acoustical Society of America
View online: http://dx.doi.org/10.1121/2.0000467";
